Alternate Name	Alternate TSN	Preferred Name	Preferred TSN
Cnidaria	48738	Hydra	50845
Coenagrion	102155	Coenagrionidae	102077
Coenagrion/Enallagma	-6	Coenagrionidae	102077
Colligyrus	-262	Truncatelloidea	-228
Colymbetes	112379	Colymbetinae	678403
Colymbetes densus	728325	Colymbetinae	678403
Colymbetes sculptilis	112385	Colymbetinae	678403
Conchapelopia	128130	Thienemannimyia Group	-276
Constempellina brevicosta	129885	Constempellina	129884
Copelatus	112561	Copelatinae	678400
Coptotomus longulus	112373	Coptotomus	112371
Corbicula fluminea	81387	Corbicula	81385
Corbiculidae	81381	Corbicula	81385
Cordulegaster dorsalis	593042	Cordulegaster	102027
Corophiidae	93584	Americorophium	656484
Corophium	93589	Americorophium	656484
Corydalus	115033	Corydalidae	115023
Corydalus cornutus	115034	Corydalidae	115023
Corynidae	49009	Hydra	50845
Crambidae	693963	Lepidoptera	117232
Cricotopus (Cricotopus)	568521	Cricotopus	128575
Cricotopus bicinctus	128583	Cricotopus Bicinctus Group	-7
Cricotopus nostocicola	128628	Cricotopus (Nostococladius)	568516
Cricotopus Sylvestris Group	-118	Cricotopus	128575
Cricotopus trifascia	128659	Cricotopus Trifascia Group	-9
Cryptochia califca	605192	Cryptochia	115907
Culex	126455	Culicidae	125930
Culex pipiens	126488	Culicidae	125930
Culicoides	127340	Ceratopogoninae	127338
Culiseta	126429	Culicidae	125930
Cybister	112364	Dytiscidae	111963
Cylloepus	114208	Elmidae	114093
Cyrnellus	117091	Polycentropodidae	117043
Dasyheleinae	127277	Dasyhelea	127278
Deronectes	112153	Hydroporinae	678402
Desmopachria convexa	112148	Hydroporinae	678402
Despaxia	102841	Despaxia augusta	102842
Deuterophlebiidae	121286	Deuterophlebia	121287
Dicranopselaphus	114091	Psephenidae	114069
Dina	69439	Erpobdella	69444
Dioptopsis	121277	Blephariceridae	121227
Diphetor	568550	Diphetor hageni	568598
Diplocladius cultriger	128671	Diplocladius	128670
Diploperla	103166	Perlodidae	102994
Diura knowltoni	103096	Diura	103094
Doddsia	102838	Taeniopterygidae	102788
Doddsia occidentalis	102839	Taeniopterygidae	102788
Doncricotopus bicaudatus	128681	Doncricotopus	128680
Doroneuria baumanni	103123	Doroneuria	103121
Doroneuria theodora	103122	Doroneuria	103121
Drunella coloradensis	101389	Drunella coloradensis/flavilinea	-10
Drunella coloradensis/flavilinea	-271	Drunella coloradensis/flavilinea	-10
Drunella flavilinea	101392	Drunella coloradensis/flavilinea	-10
Drunella grandis	101370	Drunella grandis/spinifera	-11
Drunella grandis flavitincta	101375	Drunella grandis/spinifera	-11
Drunella grandis grandis	101372	Drunella grandis/spinifera	-11
Drunella spinifera	101385	Drunella grandis/spinifera	-11
Dubiraphia giulianii	114128	Dubiraphia	114126
Dubiraphia vittata	114131	Dubiraphia	114126
Dysmicohermes disjunctus	115047	Dysmicohermes	115046
Dytiscus	112118	Dytiscidae	111963
Dytiscus cordieri	112131	Dytiscidae	111963
Dytiscus dauricus	112135	Dytiscidae	111963
Dytiscus marginicollis	112124	Dytiscidae	111963
Ecclisocosmoecus	116340	Ecclisocosmoecus scylla	116342
Ecdyonurus	697960	Afghanurus	-243
Ecdyonurus criddlei	698149	Afghanurus criddlei	-244
Einfeldia	129459	Chironomini	129229
Elimia	71654	Juga	71570
Elmidae sp. AJF#01	-205	Elmidae	114093
Elmidae sp. AJF#02	-206	Elmidae	114093
Elminae	678522	Elmidae	114093
Elodes	113969	Scirtidae	113924
Empididae Genus B	-132	Proclinopyga	135887
Empididae sp. AJF#01	-207	Empididae	135830
Empididae sp. AJF#02	-208	Empididae	135830
Empididae sp. QNR#01	-209	Empididae	135830
Enallagma	102102	Coenagrionidae	102077
Enallagma boreale	102121	Coenagrionidae	102077
Endotribelos hesperium	130047	Endotribelos	130046
Eobrachycentrus gelidae	116972	Eobrachycentrus	116971
Eogammarus	93843	Anisogammaridae	203113
Eogammarus confervicolus	656666	Anisogammaridae	203113
Epeorus albertae	100629	Epeorus Albertae Group	-197
Epeorus grandis	100635	Epeorus Grandis Group	-266
Ephemera simulans	101530	Ephemera	101526
Ephemerella dorothea	101272	Ephemerella Excrucians Group	-199
Ephemerella dorothea infrequens	698506	Ephemerella Excrucians Group	-199
Ephemerella excrucians	101276	Ephemerella Excrucians Group	-199
Ephemerella inermis/infrequens	-146	Ephemerella Excrucians Group	-199
Ephemerella maculata	101244	Ephemerella	101233
Ephemerellinae	-202	Ephemerellidae	101232
Ephoron album	101571	Ephoron	101570
Ephydra	147486	Ephydridae	146893
Erpetogomphus compositus	592837	Erpetogomphus	101725
Erpobdella punctata	69445	Erpobdella	69444
Erpobdellidae	69438	Erpobdella	69444
Estelloxus californiensis	83049	Estelloxus	83048
Eubrianax edwardsii	708467	Eubrianax	114085
Eucapnopsis	102785	Capniidae	102643
Eucapnopsis brevicauda	102786	Capniidae	102643
