Subkingdom	Phylum	Subphylum	Superclass	Class	Subclass	Infraclass	Superorder	Order	Suborder	Infraorder	Superfamily	Family	Subfamily	Custom Subfamily	Tribe	Genus Group	Subtribe	Genus	Species Group	Subgenus	Species	Subspecies	Taxon Name	TSN	Taxonomic Rank	Fore Wisseman 2012-Clinger	Fore Wisseman 2012-Intolerant	Fore Wisseman 2012-Long Lived	Fore Wisseman 2012-Predator	Fore Wisseman 2012-Tolerant
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Sarcoptiformes	Oribatida														Oribatida	733326	Suborder	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes															Trombidiformes	82769	Order	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes	Prostigmata			Arrenuridae											Arrenuridae	82862	Family	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes	Prostigmata			Axonopsidae						Brachypoda					Brachypoda	83444	Genus	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes	Prostigmata			Hygrobatidae											Hygrobatidae	83281	Family	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes	Prostigmata			Hygrobatidae						Atractides					Atractides	83282	Genus	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes	Prostigmata			Hygrobatidae						Hygrobates					Hygrobates	83297	Genus	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes	Prostigmata			Lebertiidae						Lebertia					Lebertia	83034	Genus	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes	Prostigmata			Limnesiidae						Limnesia					Limnesia	83051	Genus	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes	Prostigmata			Mideopsidae						Mideopsis					Mideopsis	83479	Genus	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes	Prostigmata			Oxidae						Oxus					Oxus	83244	Genus	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes	Prostigmata			Pionidae											Pionidae	83330	Family	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes	Prostigmata			Protziidae						Protzia					Protzia	83170	Genus	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes	Prostigmata			Protziidae						Protzia			exima		Protzia exima	83171	Species	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes	Prostigmata			Protziidae						Wandesia					Wandesia	83172	Genus	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes	Prostigmata			Sperchontidae						Sperchon					Sperchon	83006	Genus	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes	Prostigmata			Sperchontidae						Sperchonopsis					Sperchonopsis	83029	Genus	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes	Prostigmata			Torrenticolidae						Testudacarus					Testudacarus	83250	Genus	False	False	False	False	False
	Arthropoda	Chelicerata		Arachnida	Acari		Acariformes	Trombidiformes	Prostigmata			Torrenticolidae						Torrenticola					Torrenticola	83254	Genus	False	False	False	False	False
	Arthropoda	Crustacea		Branchiopoda	Phyllopoda			Diplostraca	Cladocera														Cladocera	83832	Suborder	False	False	False	False	False
	Arthropoda	Crustacea		Branchiopoda	Phyllopoda			Diplostraca	Cladocera	Anomopoda		Daphniidae											Daphniidae	83872	Family	False	False	False	False	False
	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Eucarida	Decapoda															Decapoda	95599	Order	False	False	True	False	False
	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Eucarida	Decapoda	Pleocyemata	Astacidea	Astacoidea	Astacidae						Pacifastacus					Pacifastacus	97325	Genus	False	False	True	False	False
	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Eucarida	Decapoda	Pleocyemata	Astacidea	Astacoidea	Astacidae						Pacifastacus		Pacifastacus	leniusculus		Pacifastacus leniusculus	97326	Species	False	False	True	False	False
	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Eucarida	Decapoda	Pleocyemata	Astacidea	Astacoidea	Cambaridae											Cambaridae	97336	Family	False	False	False	False	False
	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Peracarida	Amphipoda															Amphipoda	93294	Order	False	False	False	False	True
	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Peracarida	Amphipoda	Gammaridea			Anisogammaridae											Anisogammaridae	203113	Family	False	False	False	False	False
	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Peracarida	Amphipoda	Gammaridea			Anisogammaridae						Eogammarus					Eogammarus	93843	Genus	False	False	False	False	False
	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Peracarida	Amphipoda	Gammaridea			Anisogammaridae						Ramellogammarus					Ramellogammarus	93953	Genus	False	False	False	False	False
	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Peracarida	Amphipoda	Gammaridea			Corophiidae						Americorophium					Americorophium	656484	Genus	False	False	False	False	False
	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Peracarida	Amphipoda	Gammaridea			Corophiidae						Corophium					Corophium	93589	Genus	False	False	False	False	False
	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Peracarida	Amphipoda	Gammaridea			Crangonyctidae											Crangonyctidae	95080	Family	False	False	False	False	True
	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Peracarida	Amphipoda	Gammaridea			Crangonyctidae						Crangonyx					Crangonyx	95081	Genus	False	False	False	False	True
	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Peracarida	Amphipoda	Gammaridea			Gammaridae						Gammarus					Gammarus	93773	Genus	False	False	False	False	False
	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Peracarida	Amphipoda	Gammaridea			Hyalellidae						Hyalella					Hyalella	94025	Genus	False	False	False	False	False
	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Peracarida	Amphipoda	Gammaridea			Hyalellidae						Hyalella			azteca		Hyalella azteca	94026	Species	False	False	False	False	False
	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Peracarida	Isopoda															Isopoda	92120	Order	False	False	False	False	True
	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Peracarida	Isopoda	Asellota		Aselloidea	Asellidae											Asellidae	92657	Family	False	False	False	False	True
	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Peracarida	Isopoda	Asellota		Aselloidea	Asellidae						Caecidotea					Caecidotea	92686	Genus	False	False	False	False	True
	Arthropoda	Crustacea		Malacostraca	Eumalacostraca		Peracarida	Isopoda	Flabellifera			Sphaeromatidae						Gnorimosphaeroma					Gnorimosphaeroma	92295	Genus	False	False	False	False	False
	Arthropoda	Crustacea		Maxillopoda	Copepoda																		Copepoda	85257	Subclass	False	False	False	False	False
	Arthropoda	Crustacea		Ostracoda																			Ostracoda	84195	Class	False	False	False	False	False
	Arthropoda	Hexapoda		Entognatha				Collembola															Collembola	99237	Order	False	False	False	False	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera															Coleoptera	109216	Order	False	False	False	False	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Adephaga			Amphizoidae						Amphizoa					Amphizoa	111953	Genus	False	False	False	False	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Adephaga			Dytiscidae											Dytiscidae	111963	Family	False	False	False	True	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Adephaga			Dytiscidae	Agabinae		Agabini			Agabinus					Agabinus	112068	Genus	False	False	False	True	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Adephaga			Dytiscidae	Agabinae		Agabini			Agabus					Agabus	111966	Genus	False	False	False	True	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Adephaga			Dytiscidae	Colymbetinae		Colymbetini			Rhantus					Rhantus	112086	Genus	False	False	False	True	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Adephaga			Dytiscidae	Hydroporinae										Hydroporinae	678402	Subfamily	False	False	False	True	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Adephaga			Dytiscidae	Hydroporinae		Hydroporini			Heterosternuta					Heterosternuta	728249	Genus	False	False	False	True	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Adephaga			Dytiscidae	Hydroporinae		Hydroporini			Hydroporus					Hydroporus	112390	Genus	False	False	False	True	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Adephaga			Dytiscidae	Hydroporinae		Hydroporini			Oreodytes					Oreodytes	112314	Genus	False	False	False	True	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Adephaga			Dytiscidae	Hydroporinae		Hydroporini			Sanfilippodytes					Sanfilippodytes	728253	Genus	False	False	False	True	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Adephaga			Dytiscidae	Hydroporinae		Hydrovatini			Hydrovatus					Hydrovatus	112257	Genus	False	False	False	True	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Adephaga			Dytiscidae	Hydroporinae		Hygrotini			Hygrotus					Hygrotus	112200	Genus	False	False	False	True	False
