Subkingdom,Phylum,Subphylum,Superclass,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Custom Subfamily,Tribe,Genus Group,Subtribe,Genus,Species Group,Subgenus,Species,Subspecies,Taxon Name,TSN,Taxonomic Rank,Fore Wisseman 2012-Clinger,Fore Wisseman 2012-Intolerant,Fore Wisseman 2012-Long Lived,Fore Wisseman 2012-Predator,Fore Wisseman 2012-Tolerant
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Tubificina,,,Tubificidae,,,,,,Potamothrix,,,,,Potamothrix,68786,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Haplotaxida,Tubificina,,,Tubificidae,,,,,,Spirosperma,,,,,Spirosperma,68780,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Lumbriculida,,,,Lumbriculidae,,,,,,,,,,,Lumbriculidae,68440,Family,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Lumbriculida,,,,Lumbriculidae,,,,,,Eclipidrilus,,,,,Eclipidrilus,68473,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Lumbriculida,,,,Lumbriculidae,,,,,,Eiseniella,,,tetraedra,,Eiseniella tetraedra,-121,Species,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Lumbriculida,,,,Lumbriculidae,,,,,,Kincaidiana,,,,,Kincaidiana,68470,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Clitellata,Oligochaeta,,,Lumbriculida,,,,Lumbriculidae,,,,,,Lumbriculus,,,,,Lumbriculus,68441,Genus,FALSE,FALSE,TRUE,FALSE,FALSE
,Annelida,,,Polychaeta,,,,,,,,,,,,,,,,,,,Polychaeta,64358,Class,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Polychaeta,Palpata,,,Aciculata,Phyllodocida,,,Polynoidae,,,,,,Lepidonotus,,,,,Lepidonotus,64599,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Polychaeta,Palpata,,,Aciculata,Phyllodocida,,,Sphaerodoridae,,,,,,,,,,,Sphaerodoridae,66064,Family,FALSE,FALSE,FALSE,FALSE,FALSE
,Annelida,,,Polychaeta,Palpata,,,Aciculata,Phyllodocida,,,Syllidae,,,,,,Procerastea,,,nematodes,,Procerastea nematodes,65869,Species,FALSE,FALSE,FALSE,FALSE,FALSE
,Arthropoda,Chelicerata,,Arachnida,,,,,,,,,,,,,,,,,,,Arachnida,82708,Class,FALSE,FALSE,FALSE,FALSE,FALSE
,Arthropoda,Chelicerata,,Arachnida,Acari,,,,,,,,,,,,,,,,,,Acari,733321,Subclass,FALSE,FALSE,FALSE,FALSE,FALSE
,Arthropoda,Chelicerata,,Arachnida,Acari,,Acariformes,Sarcoptiformes,Oribatida,,,,,,,,,,,,,,Oribatida,733326,Suborder,FALSE,FALSE,FALSE,FALSE,FALSE
,Arthropoda,Chelicerata,,Arachnida,Acari,,Acariformes,Trombidiformes,,,,,,,,,,,,,,,Trombidiformes,82769,Order,FALSE,FALSE,FALSE,FALSE,FALSE
,Arthropoda,Chelicerata,,Arachnida,Acari,,Acariformes,Trombidiformes,Prostigmata,,,Arrenuridae,,,,,,,,,,,Arrenuridae,82862,Family,FALSE,FALSE,FALSE,FALSE,FALSE
,Arthropoda,Chelicerata,,Arachnida,Acari,,Acariformes,Trombidiformes,Prostigmata,,,Axonopsidae,,,,,,Brachypoda,,,,,Brachypoda,83444,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Arthropoda,Chelicerata,,Arachnida,Acari,,Acariformes,Trombidiformes,Prostigmata,,,Hygrobatidae,,,,,,,,,,,Hygrobatidae,83281,Family,FALSE,FALSE,FALSE,FALSE,FALSE
,Arthropoda,Chelicerata,,Arachnida,Acari,,Acariformes,Trombidiformes,Prostigmata,,,Hygrobatidae,,,,,,Atractides,,,,,Atractides,83282,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
